sample_id,Sunitinib,Everolimus,Temozolomide,Cisplatin,Etoposide,5-FU,Ribociclib,molecular_subtype
GSE118014_GSM3317279,1.3787589965189315,6.229217886448333,4.720331252474661,-7.1504112499446855,0.008839300708710047,-3.1103505904288467,3.7163182167535607,C1
GSE118014_GSM3317280,2.8666995217337874,6.246564092584919,4.6963315119019775,-5.653929650279974,0.004938738203953358,-2.1680038059912095,4.809456840440909,C1
GSE118014_GSM3317281,1.329756227254331,6.072536914192695,4.479937872029389,-4.467511207149259,0.01508274918870091,-0.01508274918870091,5.803741260710015,C1
GSE118014_GSM3317282,3.126971236268709,6.323720853709084,4.797455792637241,-4.26189812046038,0.7972719980868634,-2.8776581685890736,5.574896036129222,C1
GSE118014_GSM3317283,2.5599635424911034,6.439337423650029,4.978973561942063,-4.151885921317378,0.07460292472984219,-1.296902932846593,5.855045004223193,C1
GSE151904_GSM4593197,5.615209439687559,9.22656071400552,11.030439801645821,-8.76118442450998,12.876885350477567,-7.568323080630359,5.908202042862381,C2
GSE151904_GSM4593198,3.178840937419985,8.601649640260096,9.285990459981019,-7.712493686209292,12.829564427379804,-7.692126008111704,5.504920242656869,C2
GSE151904_GSM4593199,5.122434624974256,7.953534338932366,8.239391777480694,-7.437997933446662,11.877085511682171,-6.7359595293761085,6.517081639709101,C2
GSE151904_GSM4593200,4.71607368149366,8.434477935349037,8.359098800956554,-7.910811004690721,13.736382509839911,-8.004303671031304,7.283009930729285,C2
GSE151904_GSM4593201,6.752750336142597,8.16160058744626,8.568168098752482,-7.812621868608294,11.906671270521686,-7.0882282912793615,7.160982589701294,C2
GSE151904_GSM4593202,4.570856689459753,8.183022484329207,8.592746599040293,-7.8732862809801505,13.991720736701684,-7.807328606662452,3.8190623178184864,C2
GSE151904_GSM4593203,5.541709500472317,7.664874869511898,8.224664201458706,-7.707012175451195,12.938266419575154,-7.738915572624293,6.432283131667509,C2
GSE151904_GSM4593204,3.7060018691156147,8.109692781622478,8.701263899695137,-7.249646454538745,13.535570181797766,-6.987773192299069,6.32574132671898,C2
GSE151904_GSM4593205,3.7005805539007,8.062073228862346,8.667776234142627,-8.213484342189375,13.81897634230038,-7.368168032271892,4.954102910775875,C2
GSE151904_GSM4593206,4.60597716531279,9.257124704903006,8.427022781385315,-7.511892110038669,13.57894267007121,-8.049158968272051,6.0942543279660635,C2
GSE151904_GSM4593207,4.548117507283468,8.536537978657933,9.053900734699777,-7.353549856839802,13.856035254131,-7.810727312112256,4.047778934263273,C2
GSE151904_GSM4593208,4.7915933628600085,8.286041531663496,8.625714611779038,-8.161483280791492,13.10430952767382,-7.439164374554276,4.826558135084737,C2
GSE151904_GSM4593209,3.1952998132670727,8.323581068403158,8.19139698848534,-7.829750493093437,13.426534785908384,-7.692126008111704,6.589699655928362,C2
GSE151904_GSM4593210,3.277214077998853,7.596400081033369,8.04560929811292,-8.34581246597218,13.991720736701684,-7.778225772046284,6.276150587413315,C2
GSE151904_GSM4593211,4.483062762366144,7.754520810338432,7.704166839240569,-8.528047774319766,13.51303043881695,-8.000466301326256,6.435623763839998,C2
GSE151904_GSM4593212,4.645572156396855,7.883597012643598,8.42633722653892,-7.200223773682944,13.44602352408218,-7.5075108967756865,4.5861075864663245,C2
GSE151904_GSM4593213,4.84692791548272,7.8725937713490435,8.3959110202958,-8.112579336319083,13.909362772187094,-7.8957587823780475,6.562968579619059,C2
GSE151904_GSM4593214,4.282691254453828,8.048709004881857,8.34049783963987,-7.809350030261337,14.535316714817398,-7.81215424021846,5.461870302875138,C2
GSE151904_GSM4593215,4.533852320940839,8.528487982428413,8.436835500451695,-7.115287523340239,12.699224110508899,-7.812990795637046,6.535269980730989,C2
GSE151904_GSM4593216,3.8544230395250567,7.866506905771011,8.190129272704212,-7.914296590493723,13.426534785908384,-7.617151684658024,6.230484809185521,C2
GSE151904_GSM4593217,5.414874546798015,7.710856069884136,8.004051593402465,-8.070225585485755,12.098557297739326,-7.5903186152501725,4.443123987794005,C2
GSE151904_GSM4593218,4.038073876295708,7.852521714177556,8.474777187501575,-7.912684325118471,12.522771990499326,-7.411638062112589,6.598807158998341,C2
GSE151904_GSM4593219,3.9954091052732044,8.225470374689596,8.267249817276197,-8.592690710354681,14.264585721311098,-7.400379532988107,5.232254064138896,C2
GSE151904_GSM4593220,6.206395956578798,9.564006645253983,8.699617019654386,-7.021356620086516,12.130132104473736,-7.346882500838544,7.543524359404188,C2
GSE151904_GSM4593221,8.374485091553339,7.932344090460713,8.369067820227958,-8.542446220314172,13.254683111083029,-7.51032645562362,6.943643817473814,C2
