sample_id,CD8_T_cells,T_helper_cells,Tregs,B_cells,Macrophages,NK_cells,Dendritic_cells,Neutrophils,Monocytes,Immune_Checkpoint,molecular_subtype
GSE151904_GSM4593253,-0.235860748166607,-0.05777277180590978,0.037195587511099394,-0.10737054647708966,-0.07440099689633681,0.07792104990395471,-0.14422045685514237,0.03866240476417537,-0.25196510066788547,-0.07959424889024386,C2
GSE151904_GSM4593254,-0.15743209657490345,0.03762648045068129,-0.25085768380663276,-0.05629103708885725,-0.16092161978157407,0.06359480310376439,-0.26671582569638663,-0.4185253702395681,-0.02728632241122837,-0.07060033225206992,C2
GSE151904_GSM4593255,-0.37629436190673404,-0.40319375149008496,-0.06026473997954172,-0.23705059559133945,-0.0863786715439559,0.09846999977359835,-0.26169778380621733,-0.42528177384756155,-0.3638836280922188,-0.11166449145159617,C2
GSE151904_GSM4593256,-0.28251135795885063,-0.0267521859500915,-0.04646576282934152,-0.13752065362351426,-0.24923374787082173,0.13086312609758133,-0.369443352665867,-0.16900309260173513,-0.34642470148345134,-0.029182724963241202,C2
GSE151904_GSM4593257,-0.1073423463001847,-0.01881912100073498,0.023872962570464912,-0.018052590035871584,-0.19503543847064678,0.1480242147865965,-0.071927234802002707,0.039581563686834235,-0.25474390488802434,-0.03481616213179877,C2
GSE151904_GSM4593258,-0.23426317051197063,-0.14756619508685187,-0.08696548140959784,-0.1649471898923697,-0.06778121775725354,0.10233177799034775,-0.3948685145767801,-0.4317035973120843,-0.1508676079810755,-0.07143694878029763,C2
GSE208446_GSM6346515,-0.2006481719995586,-0.06115549819995182,-0.20223544219357173,-0.10984040574934388,-0.07785448197825486,-0.0317316526181388,-0.41998767453903096,-0.16146136226124255,-0.1605244599734323,-0.14584887687947495,C3
GSE208446_GSM6346516,-0.22069584616291496,-0.06959222305024193,-0.1463513290637584,-0.16707707557807508,-0.16167288111447461,-0.003690761703925597,-0.42371369826686045,-0.22651850811850252,-0.15303707872282168,-0.15431242510629953,C3
GSE208446_GSM6346517,-0.236322834970613,-0.07287528363924421,-0.18130462175430376,-0.17498874317342247,-0.08965218622732174,-0.02017944015009686,-0.42109468158860347,-0.19725822961301612,-0.15547032183504164,-0.14120854710349628,C3
GSE208446_GSM6346518,-0.22117279746870272,-0.05370232287920496,-0.15065890295579304,-0.1175305550557734,-0.08043228966480993,-0.003809685681076101,-0.41959167201723274,-0.07349379653428945,-0.11814731812519409,-0.1138494560842973,C3
