ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,35/1943,192/18986,0.18229166666666666,1.7812607222508148,3.6737167881855677,5.173312362772835e-4,0.01994212196135037,0.01829782062298554,2852/6352/6376/4150/5025/5364/2185/1436/5777/6366/10268/5159/3059/2268/2621/6348/3481/23533/2022/5155/1634/3791/2321/101/114897/1236/3630/55615/56917/3643/4915/6363/9037/219699/3479,35
GO:1904018,positive regulation of vasculature development,35/1943,192/18986,0.18229166666666666,1.7812607222508148,3.6737167881855677,5.173312362772835e-4,0.01994212196135037,0.01829782062298554,27161/25865/358/1003/6376/339123/947/94/2185/10800/7075/3687/7052/284361/2022/126393/4846/10411/728/3791/2321/3373/8742/6423/2041/1512/187/64094/958/6237/9037/6387/10266/2246/5054,35
GO:0097028,dendritic cell differentiation,13/1943,46/18986,0.2826086956521739,2.761507306048468,4.0387042959321935,5.174323370055846e-4,0.01994212196135037,0.01829782062298554,3965/4055/2213/2621/10288/28959/10859/81501/55365/1236/3662/3394/6363,13
GO:1905521,regulation of macrophage migration,13/1943,46/18986,0.2826086956521739,2.761507306048468,4.0387042959321935,5.174323370055846e-4,0.01994212196135037,0.01829782062298554,6352/6376/5025/2185/1436/6348/1240/728/5919/56833/4282/1435/4323,13
GO:0050777,negative regulation of immune response,37/1943,207/18986,0.178743961352657,1.7465943645092876,3.6467192387620297,5.382700850239574e-4,0.020605990368970827,0.018906950637507,8764/60343/3134/3965/6688/5777/6778/2268/710/2213/2671/10859/3718/58509/3575/79132/3133/3566/11326/9173/3824/11314/2302/79651/3635/56833/11006/2/197358/1281/84166/7128/5788/3630/3123/6693/634,37
GO:0046634,regulation of alpha-beta T cell activation,25/1943,122/18986,0.20491803278688525,2.0023539734903775,3.7501860745157582,5.437710386916156e-4,0.02067780003131317,0.018972839328945355,7297/8764/7704/916/3965/3659/3122/10859/3561/3718/135/3133/3566/9479/11314/64926/3726/11006/5788/7535/54440/3123/3559/3662/6363,25
GO:0050854,regulation of antigen receptor-mediated signaling pathway,17/1943,70/18986,0.24285714285714285,2.3730755091537388,3.8859523175655704,5.512406494732288e-4,0.020686030688126956,0.018980391337817825,257144/8525/8517/25865/7805/9840/5777/7070/115352/2213/11314/11006/1236/5788/150372/634/3932,17
GO:2000401,regulation of lymphocyte migration,17/1943,70/18986,0.24285714285714285,2.3730755091537388,3.8859523175655704,5.512406494732288e-4,0.020686030688126956,0.018980391337817825,80024/257144/207/8764/6352/2185/6366/6348/199/11151/101/6351/4739/6693/8740/81704/6387,17
GO:0002286,T cell activation involved in immune response,27/1943,136/18986,0.19852941176470587,1.9399276437286186,3.7142991467837785,5.630995774539424e-4,0.02099294110978619,0.019261995865847963,4297/3965/7305/26022/972/6778/2213/6556/3122/10859/3718/3683/2207/3566/3109/6097/3726/114836/911/4063/64218/3123/6693/3383/3662/634/6363,27
GO:0001771,immunological synapse formation,7/1943,16/18986,0.4375,4.2750257334019555,4.424963795630807,5.773704010528253e-4,0.021385199789644906,0.019621911374126094,6366/5551/923/1236/4739/81704/6363,7
