Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
BBC3,-0.581657810557763,3.440856734408664,-3.328987941525482,9.78022879065938e-4,0.0019898614560209054,-3.2408681526051515
PLA2G4D,0.6976964221443333,1.3087029156042789,3.3288696467520524,9.784237105946478e-4,0.0019905396047229878,-3.241249332868642
ZNF70,-0.5845129655502408,4.852284982874842,-3.32813485325827,9.809169200151356e-4,0.0019954741732656784,-3.243616769627921
ITGA2B,-0.6181159911316452,2.5402432793842005,-3.326741233247583,9.856618233316156e-4,0.002004988353939099,-3.248105549150508
SLC6A17,0.7221388635197408,5.108077562452735,3.32639509116669,9.868436508581296e-4,0.002007253875462158,-3.249220184141296
TGIF2,-0.6238913031692321,4.446833083609154,-3.3253657308698683,9.903659746306021e-4,0.002014279358267318,-3.252534257743105
PPT1,-0.2735725805570288,7.211505815644391,-3.3225489182413828,0.0010000645947778153,0.002033864812268541,-3.2615982391508638
FPR1,0.6190454411151726,1.0865427975948942,3.322155640241415,0.0010014257055067494,0.002036492462167654,-3.2628631663869365
DLEU1,0.4268940146650446,5.772428537139074,3.3216216829085874,0.0010032764570807534,0.002040115411173796,-3.2645803473081756
GJB6,-0.6477576097147972,0.7300071642425684,-3.3213208677673896,0.0010043205143277613,0.002042097598654854,-3.265547641134299
GRHL2,1.0575959960844254,3.5769614254665987,3.3209329010888413,0.0010056685460540365,0.002044697545256486,-3.266795056958312
LAMC3,0.8574589557929355,3.010259059359158,3.3201499962701573,0.001008393959418085,0.002050097394497246,-3.269311890816737
SLC35F3,-0.7821085555034868,3.58669777709518,-3.3183265592325744,0.001014768285009081,0.002062914343563144,-3.2751716223792355
GZMA,0.635373287164922,1.1648483789401392,3.317853911575731,0.0010164266605736398,0.002066143169025131,-3.2766900169853805
GOSR2,-0.35856669954754494,6.159907103351563,-3.317775955831932,0.0010167004254028338,0.002066557173283297,-3.2769404327862173
EFCAB2,0.3901643541359143,5.9374485512716495,3.317290098187592,0.0010184082056635235,0.002069885716040423,-3.278501020944546
ARHGEF19,0.7752551010444844,4.647576983721459,3.316713343483333,0.0010204389507855727,0.0020738701715227814,-3.2803532968588396
EIF3LP2,1.1205548452627165,2.2580334551022023,3.3151900378968797,0.0010258206123278334,0.002084663781073748,-3.285244025875188
FAM166A,-0.8079433337126978,4.507073249342896,-3.314770197209606,0.0010273084940621534,0.0020875435424211703,-3.2865915999365622
